TimeOfDay,currentLocation,n
Evening,POINT (400.07619102322553 4596.453677335358),15
Evening,POINT (400.0817988872997 4592.650356405198),15
Evening,POINT (400.09385904085093 4590.52323201763),5
Evening,POINT (400.11612085596647 4586.596777048153),125
Evening,POINT (400.11863632708616 4586.153107741442),1
Evening,POINT (400.1273866947413 4598.4264136626725),53
Evening,POINT (400.12976132479537 4584.190922613505),7
Evening,POINT (400.13219122221045 4583.762346473991),22
Evening,POINT (400.14337792540454 4599.042607975861),1
Evening,POINT (400.14568132631075 4581.383012802926),115
Evening,POINT (400.1561849479828 4579.530423636343),8
Evening,POINT (400.1652881276163 4577.92483915347),50
Evening,POINT (400.20430695066426 4571.042846339119),17
Evening,POINT (400.217678474114 4568.684427475868),3
Evening,POINT (400.2287629276952 4566.729393368278),321
Evening,POINT (400.23098244871585 4566.337922623587),77
Evening,POINT (400.238107756589 4565.0811877004835),8
Evening,POINT (400.24243511976806 4564.3179437075305),19
Evening,POINT (400.27486600404575 4604.109272825924),7
Evening,POINT (400.3180968143341 4550.973019446595),6
Evening,POINT (400.3333062497545 4548.290436603317),13
Evening,POINT (400.33673853946055 4606.493423568791),12
Evening,POINT (400.3688489055849 4542.021557049285),7
Evening,POINT (400.3724794455417 4541.381216107569),322
Evening,POINT (400.37976147880465 4540.096838551444),321
Evening,POINT (400.4170762128982 4533.515406518342),1
Evening,POINT (400.4306585502102 4531.119805101349),2
Evening,POINT (400.48428124025554 4521.66203731771),5
Evening,POINT (400.49038208690905 4520.58599299984),7
Evening,POINT (400.4917431721941 4520.345929911831),79
Evening,POINT (400.4926018954871 4520.194471536859),321
Evening,POINT (400.4933815482688 4520.056959320391),2
Evening,POINT (400.53024001930953 4513.55600124335),2
Evening,POINT (400.53469199080973 4512.770779304786),2
Evening,POINT (400.53564903668615 4512.601979163473),1
Evening,POINT (400.53940596264835 4511.9393467349055),17
Evening,POINT (400.5685408096056 4506.800652337052),4
Evening,POINT (400.58094374321496 4504.6130696959435),22
Evening,POINT (400.5832033617417 4615.990517637952),7
Evening,POINT (400.59794671090714 4501.614150396496),321
Evening,POINT (400.5981654413927 4501.575571538589),3
Evening,POINT (400.61510914201364 4498.587105541593),2
Evening,POINT (400.61890463317474 4497.917671128733),321
Evening,POINT (400.63189273674243 4495.626878417863),5
Evening,POINT (400.65687197899996 4491.22113390032),34
Evening,POINT (400.6677234891667 4489.307185473419),51
Evening,POINT (400.6701796502457 4488.873977047937),19
Evening,POINT (400.68080437178475 4487.0000287436405),29
Evening,POINT (400.7016926197276 4483.31583837043),36
Evening,POINT (400.71266451016913 4620.9790782509335),2
Evening,POINT (400.7204590348969 4621.279426730197),6
Evening,POINT (400.72532963308726 4621.467106776212),1
Evening,POINT (400.7257024170222 4479.081080898322),5
Evening,POINT (400.7349184318509 4477.455594969385),15
Evening,POINT (400.7602496223659 4622.812687942741),8
Evening,POINT (400.77054339322524 4623.209340533047),1
Evening,POINT (400.78382269249335 4623.721035277777),4
Evening,POINT (400.7848268574819 4623.759729032403),4
Evening,POINT (400.87353228428674 4627.177838663682),120
Evening,POINT (400.9971439211651 4631.940998503742),6
Evening,POINT (401.00364888735993 4632.191656083583),1863
Evening,POINT (401.18628096416404 4639.229066118012),3
Evening,POINT (401.19946714934156 4639.737172872904),8
Evening,POINT (401.2449453143947 4641.489595014146),4
Evening,POINT (401.41219171197986 4647.934144609068),3
Evening,POINT (401.5640647036374 4653.786306694463),1
Evening,POINT (401.755255694424 4661.1535196211225),320
Evening,POINT (401.83830076093057 4664.353517094565),1
Evening,POINT (401.9844428708112 4669.98484959937),27
Evening,POINT (402.00557504569684 4670.799141273601),158
Evening,POINT (402.0984104781175 4674.376393501689),3
Evening,POINT (402.09905928266 4674.401394058424),333
Evening,POINT (402.11595110598137 4675.052291146285),321
Evening,POINT (402.119585706565 4675.192344170188),1
Evening,POINT (402.1258180618711 4675.432497162679),4
Evening,POINT (402.12964060745816 4675.579792321022),12
Evening,POINT (402.1583756518744 4676.687047374205),20
Evening,POINT (402.20729276340114 4678.5719833478715),2
Evening,POINT (402.30397502774736 4701.96574203463),3
Evening,POINT (402.3288806996325 4683.257163396599),5
Evening,POINT (402.3841516334518 4685.386932882215),1
Evening,POINT (402.41448053557923 4686.555604475398),1
Evening,POINT (402.4410899744616 4687.580953009336),9
Evening,POINT (402.4523548378302 4688.0150249636945),1
Evening,POINT (402.5200145366523 4690.622174002073),1
Evening,POINT (402.62058420850724 4694.497451720293),321
Evening,POINT (402.6394141071438 4695.223029175968),26
Evening,POINT (402.7607656004026 4699.8990983052045),5
Evening,POINT (402.77347980507494 4700.389018110679),321
Evening,POINT (403.5615486465653 4269.595760418168),4
Evening,POINT (404.5082258359682 4476.605608476786),36
Evening,POINT (405.67906906478146 4476.597894168083),75
Evening,POINT (407.29032494500893 1663.4840555213916),642
Evening,POINT (408.8322605010811 1663.4575429288782),321
Evening,POINT (409.40892307841887 4476.573319362019),106
Evening,POINT (409.59075673747014 4476.57212131864),15
Evening,POINT (409.7402142518887 1229.2664201170833),2
Evening,POINT (41.94650402344348 4100.464842178816),6
Evening,POINT (410.3894486200464 4476.566858995222),7
Evening,POINT (410.6339534720901 1229.0518277249341),24
Evening,POINT (411.5558837295971 4476.559173730197),10
Evening,POINT (413.3431069247301 1663.3799818189796),71
Evening,POINT (413.52235159548786 4476.546217307168),21
Evening,POINT (413.840000705876 1194.128694228948),1078
Evening,POINT (413.84000070587604 1194.128694228948),1
Evening,POINT (418.8001119900817 4476.511443844808),4
Evening,POINT (419.1191975074212 1663.2806656476023),278
Evening,POINT (419.73550818657594 1663.2700685809261),102
Evening,POINT (420.65458349509464 1663.254265670715),321
Evening,POINT (424.88436724271014 4476.471356647741),319
Evening,POINT (425.7555863581837 4476.46561646576),1
Evening,POINT (427.9248691249813 4739.045298736094),31
Evening,POINT (428.2185601018182 1224.829653385506),6
Evening,POINT (428.3666407374226 4476.448413069928),342
Evening,POINT (429.89792875971733 2384.9383099256006),55
Evening,POINT (437.2526062980377 4476.389866306557),1
Evening,POINT (438.61348306932905 4476.3808999280855),3
Evening,POINT (44.48407189309449 4728.965245267986),4
Evening,POINT (44.92545053582484 4100.456463886178),6
Evening,POINT (441.1948905596014 1221.7139550572779),69
Evening,POINT (441.9734632124857 1662.8452724857334),14
Evening,POINT (441.9915417869322 4273.426869390195),145
Evening,POINT (443.8884487579616 1662.6005152795133),640
Evening,POINT (444.3325937897426 1332.2974615078624),1
Evening,POINT (444.42351961917893 1335.4168669507078),108
Evening,POINT (444.6134812293251 1341.9339070953483),23
Evening,POINT (445.2591850766489 1364.0861613920024),9
Evening,POINT (445.83878843500884 4476.333294719553),321
Evening,POINT (446.3848718188902 1662.2814436628214),321
Evening,POINT (447.0075425564966 1277.627917209308),12
Evening,POINT (447.4115088933962 4476.322932571299),321
Evening,POINT (447.4874933269731 1269.0513109255148),24
Evening,POINT (447.5638565821538 1564.0244581691422),5
Evening,POINT (447.91304301682857 1220.1008845172),321
Evening,POINT (448.1374514405004 1517.4840817935215),27
Evening,POINT (448.19069585548044 1524.2653237233367),9
Evening,POINT (448.2545547429549 1532.3984314961606),7
Evening,POINT (448.3711906660503 1547.2532554718646),13
Evening,POINT (449.8121901257639 4476.307115256333),75
Evening,POINT (450.2533891932301 4274.25049789328),2
Evening,POINT (450.8812549460538 4476.3000715327635),36
Evening,POINT (452.5225478397973 1206.778939217981),131
Evening,POINT (452.552565661646 1661.4931413608324),15
Evening,POINT (453.3527233300063 4476.28378782407),1
Evening,POINT (453.5803393292031 1200.8183957700635),21
Evening,POINT (453.58607251096726 4476.282250361519),24
Evening,POINT (454.58977589587244 1195.1303272104185),44
Evening,POINT (454.6974830945497 1194.5234085087661),23
Evening,POINT (456.2488100443161 1550.1852766322693),34
Evening,POINT (456.48124370442855 1184.4721056552714),1
Evening,POINT (458.58435027956926 1172.6213219778863),13
Evening,POINT (458.96563532128863 4476.24680615585),1
Evening,POINT (459.78425866014663 1660.5688477134279),36
Evening,POINT (46.2235161277744 4728.747563438125),9
Evening,POINT (46.72785999823713 4728.684447590884),2
Evening,POINT (460.4479313036871 1162.120239511049),2
Evening,POINT (461.2694582725164 4476.231627008885),42
Evening,POINT (461.7218433306304 1154.9418796343919),59
Evening,POINT (461.7499428770771 1154.7835416546104),50
Evening,POINT (462.1727696471055 1550.120740256495),1
Evening,POINT (462.86957139900915 4476.221084379168),26
Evening,POINT (463.52209209181336 1139.4709127150088),21
Evening,POINT (464.53474768660254 1128.6461082089247),12
Evening,POINT (465.2183733924865 4476.205608879789),63
Evening,POINT (466.5755291433234 1106.831129432015),9
Evening,POINT (466.6759755669554 1105.7574051522633),6
Evening,POINT (466.85889255967726 1103.8021098897436),44
Evening,POINT (466.8668211925595 1103.7173565921842),2
Evening,POINT (467.3076193547645 1099.0054348321469),30
Evening,POINT (467.9621474522026 1092.0088421752116),3
Evening,POINT (468.3770529465393 1087.5737006643108),23
Evening,POINT (468.6788339013462 1084.347806435065),47
Evening,POINT (469.3466605422654 1077.209058701775),8
Evening,POINT (472.3991910475412 4476.158296786445),238
Evening,POINT (472.7222347079784 2221.8192620668133),2
Evening,POINT (48.92731780221726 4100.445208627008),2
Evening,POINT (484.1162608685217 4476.081096789492),53
Evening,POINT (484.71436713808924 1657.3824927478554),3
Evening,POINT (486.27063002337195 4476.066902345427),85
Evening,POINT (486.7427581653492 821.1760357990314),3
Evening,POINT (490.39163668105914 1071.296249692562),10
Evening,POINT (494.4735322794571 4476.012856066036),179
Evening,POINT (495.30092337552225 820.4368901268759),7
Evening,POINT (495.35549393104606 1070.8046434911819),10
Evening,POINT (495.997253669962 4476.014361621835),21
Evening,POINT (497.2067908555536 4356.908652589637),13
Evening,POINT (497.9967937001494 1624.515148185587),2144
Evening,POINT (501.0400177552985 2280.4328579134835),134
Evening,POINT (501.8236103686902 1549.6887789116922),1
Evening,POINT (501.8444158293596 4476.056605461747),84
Evening,POINT (503.0039687438723 1212.9113227793173),1
Evening,POINT (504.51046378057964 1477.886760892753),125
Evening,POINT (506.02819405607 1654.6583402117542),22
Evening,POINT (507.42244758051703 4476.096904922219),43
Evening,POINT (507.49583997040435 4476.097435158304),22
Evening,POINT (507.7621343334822 1654.4367226757604),6
Evening,POINT (510.77983089230935 1654.051026302906),40
Evening,POINT (513.2479985030377 4476.138992627992),33
Evening,POINT (515.2647756569671 4476.153563185282),321
Evening,POINT (515.8814096792041 4476.158018165016),9
Evening,POINT (516.4681191986085 4476.162256949975),16
Evening,POINT (517.5672009548521 4476.170197457266),74
Evening,POINT (518.5013127919809 1068.5123479002707),2
Evening,POINT (521.6216555349768 4476.199489569499),134
Evening,POINT (522.529013392724 1652.5493454724863),9
Evening,POINT (525.2325092323628 4476.225576810006),7
Evening,POINT (527.9769288064143 1067.5739100363285),2
Evening,POINT (528.2113897850232 4476.247098250622),9
Evening,POINT (529.0336503746969 4425.668816338874),37
Evening,POINT (529.0706883444925 1067.4655872251235),56
Evening,POINT (53.139653304594646 1093.9774101968076),41
Evening,POINT (53.71315310962717 4727.81027677455),1549
Evening,POINT (53.96195439550051 4727.779140669063),5
Evening,POINT (530.1614108954341 1651.5738371748187),235
Evening,POINT (531.3700702515553 1067.2378630284102),181
Evening,POINT (532.2131684422194 4476.276009796488),4
Evening,POINT (533.243532438734 1067.052320700562),1052
Evening,POINT (536.0572569164574 1650.8202801551226),1
Evening,POINT (537.2734727915182 1650.6648337600082),10
Evening,POINT (537.5487781075327 4325.595357065675),191
Evening,POINT (537.9083954886262 4476.317155954753),13
Evening,POINT (539.0781254501154 4476.325606872289),18
Evening,POINT (54.6226709549211 4100.429190435613),2
Evening,POINT (542.4463406613615 4476.349941128857),40
Evening,POINT (544.1123134428389 4476.361977238948),220
Evening,POINT (544.8152603869656 4476.367055801397),321
Evening,POINT (545.7616613140674 4476.373893239485),6
Evening,POINT (547.3621684656611 4476.3854563817495),322
Evening,POINT (549.5114270974925 4476.4009840745175),30
Evening,POINT (549.918643012496 4476.403926076715),27
Evening,POINT (55.79242681710089 4100.425900495064),11
Evening,POINT (550.5585058866665 4476.408548877329),15
Evening,POINT (550.9587651751698 1065.297854801659),127
Evening,POINT (552.9569463840824 815.4572947540477),12
Evening,POINT (554.3742530220767 4476.436116406113),2541
Evening,POINT (555.3353825705847 4476.443060253689),24
Evening,POINT (558.1197010227812 4476.463176046573),196
Evening,POINT (558.6327316281419 4476.466882525403),13
Evening,POINT (560.8938909750201 4476.483218664347),94
Evening,POINT (561.5070398164587 1646.138906490968),13
Evening,POINT (562.1759224381293 4476.492480923613),17
Evening,POINT (562.4483774340464 1645.9447371943545),121
Evening,POINT (566.1855493099326 1645.173872394194),75
Evening,POINT (567.7208874125674 1914.3615429683741),186
Evening,POINT (570.8836155060255 1644.2048043449665),18
Evening,POINT (572.0443916295834 4374.961549756034),18
Evening,POINT (572.0494671550739 4375.5439965591295),11
Evening,POINT (572.052309463747 4375.870168421154),6
Evening,POINT (572.0526467474274 4375.908873733891),7
Evening,POINT (572.0697794742113 4377.874956253263),321
Evening,POINT (572.0824415452645 4379.32800437986),33
Evening,POINT (572.1153832016813 4373.618891066905),1
Evening,POINT (572.1239608058528 4384.092587011081),8
Evening,POINT (572.1320791869326 4373.4318916913035),21
Evening,POINT (572.1587981370102 4373.132632503778),11
Evening,POINT (572.1874890494187 4391.382831625186),12
Evening,POINT (572.1919180875932 4391.891090155333),15
Evening,POINT (572.2071935085293 4393.644035758062),5
Evening,POINT (572.2633690186929 4400.090510387731),4
Evening,POINT (572.314380836643 4405.944420557333),4
Evening,POINT (572.3785989698954 4413.313834125118),320
Evening,POINT (572.4064925391735 4416.514787461532),2
Evening,POINT (572.4555794414774 4422.14780208711),39
Evening,POINT (572.4940773433855 4426.565665800741),381
Evening,POINT (572.4997510488068 4427.216757316388),321
Evening,POINT (572.5009718556222 4427.356852175168),3
Evening,POINT (572.5140008057128 4428.852001858115),9
Evening,POINT (572.5304313162375 4430.737500876132),5
Evening,POINT (572.5803063047825 4436.460953095339),11
Evening,POINT (572.5886455562463 4437.417931907554),156
Evening,POINT (572.5898355090661 4437.554486086432),1
Evening,POINT (572.5937280852684 4438.001182407634),1
Evening,POINT (572.6000225239993 4438.723506770484),1
Evening,POINT (572.6025796480875 4368.162164201016),19
Evening,POINT (572.6089602280454 4439.749161583632),41
Evening,POINT (572.635469782867 4442.791291011628),1
Evening,POINT (572.6692495993832 4446.6677263040365),321
Evening,POINT (572.7031836403183 4450.561859767779),16
Evening,POINT (572.7163343875691 4452.070986400834),10
Evening,POINT (572.7206048947018 4452.5610525489865),321
Evening,POINT (572.7342365727757 4454.125368860632),18
Evening,POINT (572.7386828102644 4454.635601114605),9
Evening,POINT (572.7761299787365 4458.932886903473),321
Evening,POINT (572.8057311221388 4462.329794548752),153
Evening,POINT (572.8293812436604 4465.043786961689),2
Evening,POINT (572.8682084425233 4469.4994394636915),52
Evening,POINT (572.8747183160369 4470.246486251983),44
Evening,POINT (572.9150248167301 4474.871897456489),30
Evening,POINT (573.0109209108848 1804.63524963616),45
Evening,POINT (573.65953318343 4356.324009807969),36
Evening,POINT (574.11026283427 4351.275720533417),3
Evening,POINT (574.1650793764829 4350.661761008886),64
Evening,POINT (574.3405736675645 4348.696179322035),27
Evening,POINT (574.4984750634226 4346.927642635661),7
Evening,POINT (574.6788224024616 4344.907705549942),59
Evening,POINT (574.8679903805062 4342.788975014085),14
Evening,POINT (575.2171752010084 4338.878014239944),243
Evening,POINT (575.4311310098609 4336.481653554453),12
Evening,POINT (575.469244851357 4336.054768620485),54
Evening,POINT (575.6808421337158 4333.684824044916),75
Evening,POINT (575.8455953323713 4331.839545385812),18
Evening,POINT (575.9883820786376 4330.240296704522),1
Evening,POINT (576.6004067788463 4323.385460941962),33
Evening,POINT (576.810144079754 4321.036348642223),4
Evening,POINT (577.0188218519482 4318.69910333954),33
Evening,POINT (577.1305849466364 4317.4473276217595),77
Evening,POINT (577.1984612418572 4316.687095468139),38
Evening,POINT (577.400209628669 813.3461959616197),10
Evening,POINT (578.3852429619827 4303.394831651508),11
Evening,POINT (578.7675179445725 4299.113252458878),321
Evening,POINT (579.159003004695 1695.6403485424544),221
Evening,POINT (579.1813083223996 4294.478692645909),44
Evening,POINT (579.2382546871311 4293.840878555439),322
Evening,POINT (58.68983971928321 4727.187471957799),117
Evening,POINT (580.0752248211993 4284.46659545012),1
Evening,POINT (580.3965404548777 4280.8677768141115),520
Evening,POINT (580.9578869803955 4274.580549783902),1
Evening,POINT (581.1936243780824 4273.142527958348),10
Evening,POINT (581.238627014694 4272.906716801964),94
Evening,POINT (581.2927979354542 4272.622864378446),14
Evening,POINT (582.6586776891845 4265.465735186457),5
Evening,POINT (582.9124582493545 1776.051722536382),34
Evening,POINT (583.6936737916734 4260.042416773186),1
Evening,POINT (583.7778478901624 4259.601349471428),16
Evening,POINT (584.1879358694193 4257.452512694539),17
Evening,POINT (584.7501184047688 4254.506709431852),321
Evening,POINT (584.7573504633816 4254.468813872105),17
Evening,POINT (585.3175734047949 4251.53327876584),13
Evening,POINT (585.4430667235187 4250.875701191837),321
Evening,POINT (585.5516532548673 4250.306714184562),2
Evening,POINT (585.7918117851856 3538.798388512636),27
Evening,POINT (585.8725026387813 4248.625482373657),5
Evening,POINT (586.698411032992 4244.29777119559),49
Evening,POINT (586.9990937147339 1547.7988800780236),24
Evening,POINT (587.48970661717 4240.151429096628),46
Evening,POINT (588.1769004542509 1477.886760892753),34
Evening,POINT (588.1769004542509 1516.0341391439815),198
Evening,POINT (588.1803512387519 4236.532492093635),53
Evening,POINT (588.4497540905923 3728.438009394122),29
Evening,POINT (589.2652633968277 813.3461290461141),13
Evening,POINT (589.2789224785889 4230.776043717674),24
Evening,POINT (589.7126864665483 3461.117029912494),38
Evening,POINT (59.16071660889225 4100.4164271737245),19
Evening,POINT (59.17062917348893 1447.0465860963886),8
Evening,POINT (59.33792014360636 1444.5807323165866),1
Evening,POINT (59.68820070328894 1521.9908424777807),1
Evening,POINT (59.86757920043678 1532.8614306542934),1
Evening,POINT (590.1400852847574 4226.26360150433),36
Evening,POINT (590.3595747929927 4225.113489452054),74
Evening,POINT (591.0587835368243 4221.449676954574),36
Evening,POINT (591.4612587153374 4219.3407308036985),10
Evening,POINT (591.5324221952098 1059.0444172947275),8
Evening,POINT (591.8298982173842 4217.409081597966),20
Evening,POINT (593.0581490340419 4210.973119902966),1
Evening,POINT (593.6984305262368 1547.5369756843936),4
Evening,POINT (593.9065438592232 4206.527581155463),1
Evening,POINT (593.9471372322862 1058.5175658718708),11
Evening,POINT (593.9598530786316 4206.248243996106),319
Evening,POINT (593.9684897030291 3555.941753443666),61
Evening,POINT (594.1231742223292 4205.3924508547),1
Evening,POINT (595.3597629369422 4477.410043659789),6
Evening,POINT (595.5825618783592 1547.463317306978),12
Evening,POINT (596.2784373614656 4194.09899937231),1
Evening,POINT (596.5335510828835 4192.762218548192),3
Evening,POINT (596.9577270734897 3757.22103720393),64
Evening,POINT (597.6053877120731 1868.1220395089078),2
Evening,POINT (597.6089722040816 1869.5559022623108),53
Evening,POINT (597.6103028635491 1870.0881905317412),321
Evening,POINT (597.6258467670707 1876.306037928095),14
Evening,POINT (597.6440721753241 1883.596536553408),32
Evening,POINT (597.649647212494 1867.5733913082395),640
Evening,POINT (597.6497251226047 1885.8578194725562),26
Evening,POINT (597.6658411294247 1892.3045187142795),12
Evening,POINT (597.6829266843333 1899.139055029805),19
Evening,POINT (597.7069013641333 1908.729368052896),4
Evening,POINT (597.7209837436257 1914.3625789474509),24
Evening,POINT (597.7340062235962 1919.5718105324515),69
Evening,POINT (597.7377440561127 1921.0670123103296),9
Evening,POINT (597.7424577510823 1922.9525770240675),9
Evening,POINT (597.7606167523699 1930.2165116412525),22
Evening,POINT (597.7649866515691 1931.9645517214203),5
Evening,POINT (597.772591890312 1935.0067871451724),39
Evening,POINT (597.7810058289643 1938.3725174116958),11
Evening,POINT (597.8022023353017 1946.8515099349233),9
Evening,POINT (597.812945429948 1951.1489454524797),321
Evening,POINT (597.8169418043599 1865.6500899150847),14
Evening,POINT (597.8214376043414 1954.545971454914),227
Evening,POINT (597.8429775144427 1865.3507705114173),22
Evening,POINT (597.888026799645 4185.6648458359905),321
Evening,POINT (597.8960891342083 1961.7144112091648),11
Evening,POINT (597.9820095336196 1963.4741981050631),1
Evening,POINT (598.1580936051005 1967.0806808925213),18
Evening,POINT (598.1828533242453 4184.119972270051),321
Evening,POINT (598.3732658817752 1971.487752501207),1
Evening,POINT (598.497485233506 1638.5089035739898),22
Evening,POINT (598.6756914495909 1977.6819107555098),1
Evening,POINT (598.8278777037374 1980.7989281066577),109
Evening,POINT (598.8333015106953 4180.711662211715),36
Evening,POINT (598.9209117257719 4477.543387738301),8
Evening,POINT (599.0989522788024 1986.350967997985),94
Evening,POINT (599.1458241669038 1987.3109790667438),199
Evening,POINT (599.2966098058309 4178.28395412471),3
Evening,POINT (599.3319086266235 1991.1222857644382),73
Evening,POINT (599.340354088341 4178.054736669455),4
Evening,POINT (599.3829720445736 1992.1681460535438),15
Evening,POINT (599.565838758515 1995.9135481826634),10
Evening,POINT (599.573934296552 1638.28686489891),56
Evening,POINT (599.6462733357068 1997.5609766849616),220
Evening,POINT (599.7275186682584 1999.2250107508728),14
Evening,POINT (599.7445405978445 1843.489460551019),101
Evening,POINT (599.7979554063103 1842.875377487176),91
Evening,POINT (60.16831209673113 1432.3408299782081),5
Evening,POINT (60.826726279093414 4100.411741518411),220
Evening,POINT (600.0750029376031 2006.3420431193583),321
Evening,POINT (600.1228257108256 1839.1405077445258),6
Evening,POINT (600.2265649247427 2009.4462744859698),11
Evening,POINT (600.2985613224348 1837.1201642124058),68
Evening,POINT (600.3299130282309 2011.5630085733385),333
Evening,POINT (600.3488218034889 4172.770425438139),1
Evening,POINT (600.4217216772516 2013.4433962179949),8
Evening,POINT (600.6895102478506 1832.6256219530394),321
Evening,POINT (600.7074119680287 1832.4198149214178),1
Evening,POINT (600.7524981482061 1638.0437630512683),320
Evening,POINT (600.7807028223838 4170.507394421421),43
Evening,POINT (600.8231477056783 1831.0892596238646),428
Evening,POINT (600.9408121875309 2024.075198258406),24
Evening,POINT (600.9783848683029 1829.3045764023966),1
Evening,POINT (600.9944116603315 2025.173000998009),55
Evening,POINT (601.0316323726898 1828.692416749014),8
Evening,POINT (601.05309572006 2026.3749441921275),320
Evening,POINT (601.0687715912763 1828.2654459183884),7
Evening,POINT (601.0806644522686 4168.9356132072535),26
Evening,POINT (601.1514489058834 2028.3893743945891),198
Evening,POINT (601.4354982771971 1824.0493745076403),52
Evening,POINT (602.0670325956467 2047.1419894939427),363
Evening,POINT (602.0871524367084 4477.661944831806),83
Evening,POINT (602.7537695602409 1808.8938756540574),123
Evening,POINT (602.8671132943094 4159.574726846323),80
Evening,POINT (603.0101650969925 1805.9462257178998),320
Evening,POINT (603.9102036531639 1795.5989372032466),16
Evening,POINT (604.4145653235614 1789.800545919283),1
Evening,POINT (604.4333856450602 4151.421139320504),127
Evening,POINT (604.7414027051009 1786.043061685997),321
Evening,POINT (604.8369390387296 1784.9447287302473),321
Evening,POINT (604.9279414294497 1783.8985202252368),257
Evening,POINT (605.0627118455432 1782.3491328473324),5
Evening,POINT (605.0798628176724 1782.151956786695),31
Evening,POINT (605.1692473505366 4148.08685030754),54
Evening,POINT (605.4400970069544 1778.010526329317),1
Evening,POINT (605.8700695260123 1773.0673495314356),194
Evening,POINT (605.9331992084329 1055.9024027119863),4
Evening,POINT (606.5642622159903 1765.0865669319423),4
Evening,POINT (606.589303605305 1764.798678731743),18
Evening,POINT (606.767978965912 1762.744538390773),5
Evening,POINT (606.8648681273435 2072.266949217071),4
Evening,POINT (607.2207037401027 1757.5397904117415),4
Evening,POINT (607.2819089141746 1756.836145450791),2
Evening,POINT (607.4013840500971 4137.9727367215355),178
Evening,POINT (607.4422584943111 2897.2122199187506),193
Evening,POINT (607.5398008659104 1207.930771641955),10
Evening,POINT (607.6839706255785 2383.4941895708853),124
Evening,POINT (607.6991475246613 1752.0393639656465),322
Evening,POINT (607.7297680901646 4136.4847841773535),3
Evening,POINT (607.7380583709398 1751.592025626603),8
Evening,POINT (607.8621692661453 1750.165185374374),195
Evening,POINT (608.1875062321484 1746.4249506603908),321
Evening,POINT (608.6316248847204 1743.4306859580681),25
Evening,POINT (608.7289512522199 2079.5465250893967),103
Evening,POINT (608.8157956121845 1742.1956413469713),1
Evening,POINT (609.0682353861488 1740.5027860992682),6
Evening,POINT (609.3004645315671 2081.7783860099366),321
Evening,POINT (609.5262715627342 1737.4312061616286),9
Evening,POINT (609.6564084832744 4127.754915715833),1
Evening,POINT (609.7762338925406 1735.7549645967756),1
Evening,POINT (61.86670312323876 1407.3066997477722),82
Evening,POINT (61.99981116505132 1405.3446992417366),4
Evening,POINT (610.5328112799002 1730.6813742493723),48
Evening,POINT (610.6349818309732 2086.9899132236715),12
Evening,POINT (610.6928691593258 2087.2159735281534),4
Evening,POINT (610.7373386221211 2087.38963468312),6
Evening,POINT (611.3059705264094 2089.610243322),53
Evening,POINT (611.3346599759675 2266.011783648469),80
Evening,POINT (611.4475609569797 4119.638961360315),32
Evening,POINT (611.7483585140117 1722.5299427939287),60
Evening,POINT (611.8822065209473 4117.669523465008),321
Evening,POINT (612.0151003519959 4117.0673635245475),9
Evening,POINT (612.1415450062553 4116.49442567725),16
Evening,POINT (612.3784135213801 4115.421142366513),75
Evening,POINT (612.5568637733019 2094.4952037496832),321
Evening,POINT (612.5986005268035 1716.8282396487803),9
Evening,POINT (612.6493381657582 1716.4879942230616),2
Evening,POINT (613.122248465354 2437.1675050027925),6
Evening,POINT (613.4653899123531 1711.0155702071202),18
Evening,POINT (613.7554302778224 1709.0705662680814),65
Evening,POINT (614.0486645040061 4478.109833111346),18
Evening,POINT (614.2738589466688 3581.8889564580236),4
Evening,POINT (614.3492575688517 2101.4948200509443),21
Evening,POINT (614.405730289732 3587.5206412188063),26
Evening,POINT (614.4671162229887 3590.142182918599),5
Evening,POINT (614.4975167058212 3571.3251169017535),47
Evening,POINT (614.509154416973 3591.937461945366),430
Evening,POINT (614.5243967549276 3592.588399748705),321
Evening,POINT (614.5276764370182 3592.7284615333247),70
Evening,POINT (614.5626785468787 3594.22325823531),12
Evening,POINT (614.6068189058831 3596.1083121171187),8
Evening,POINT (614.6723950096442 4105.026801669967),9
Evening,POINT (614.7347051058576 3565.4757914584034),12
Evening,POINT (614.7768648764355 3603.3702788094106),20
Evening,POINT (614.8177858356212 3605.1178453154394),61
Evening,POINT (614.8890034198291 3608.159256545261),4
Evening,POINT (614.9677938963341 3611.5240749775357),14
Evening,POINT (614.9959029990584 3559.0343656457826),17
Evening,POINT (615.0669287495083 3557.2827929332225),58
Evening,POINT (615.0875223397886 3556.7749324662773),25
Evening,POINT (615.1662839143345 3620.000770395773),12
Evening,POINT (615.2668852594705 3624.297041664093),321
Evening,POINT (615.3098822064323 3201.003200456854),56
Evening,POINT (615.3464083573532 3627.6931473537243),379
Evening,POINT (615.3829080573339 3549.490397501774),10
Evening,POINT (615.5142528894668 3634.8610996299963),61
Evening,POINT (615.5348380108167 4101.118955668856),3
Evening,POINT (615.6348336675222 3543.2776363326793),321
Evening,POINT (615.6400244874746 3640.2322892712596),83
Evening,POINT (615.6564001419827 3542.7457834774577),28
Evening,POINT (615.7144952874648 3541.3130936302646),36
Evening,POINT (615.7160635471297 3541.2744186311565),17
Evening,POINT (615.7368025588042 3540.762971913532),640
Evening,POINT (615.8074153735628 3539.0215826468966),1
Evening,POINT (615.8150220545097 3538.833993572577),31
Evening,POINT (615.827195192268 3538.5337906773075),20
Evening,POINT (615.9615450177121 3653.963113788221),116
